REAPER,VST/VSTi INSTALLED EXTRACTOR
Version:,3.1 FERRETS
by:,Tormy Van Cool
Date:,2023-10-26 13:58:21

CHECK,N.,INSTR.,VST/VSTi/AU/CLAP NAME (Manufacturer),FILE (VSTs) - INST-NotINST (AUs) - CLAP (for Clap Plugins)
,194,,Dolby Atmos Music Panner (Dolby Laboratories),Dolby_Atmos_Music_Panner.vst
,195,,Dolby Atmos Music Panner (Dolby Laboratories),Dolby_Atmos_Music_Panner.vst3
,196,,Doppler (Sound Particles) (24ch),Doppler.vst
,197,,Doppler (Sound Particles),Doppler.vst3
,198,,DMSMatrixEditGUI (x86) (Schalltechnik Dr.-Ing. Schoeps GmbH) (6ch),DoubleMSTool_Mac.vst
,199,,dpMeter4 (TBProAudio) (6ch),dpMeter4.vst
,200,,dpMeter4 (TBProAudio) (6ch),dpMeter4.vst3
,201,,Driftmaker       (Puremagnetik),Driftmaker.vst
,202,,Drum Leveler (Sound Radix),DrumLeveler.vst
,203,,Drum Leveler (Sound Radix),DrumLeveler.vst3
,204,,DualDelay (IEM) (64ch),DualDelay.vst
,205,,Duo2B (x86) (Ambisonic Studio B2X) (4ch),Duo2B.vst
,206,,Duo2B2 (x86) (Ambisonic Studio B2X) (9ch),Duo2B2.vst
,207,,Duo2B5 (x86) (Ambisonic Studio B2X) (12ch),Duo2B5.vst
,208,,audiounit (Ambisonic Studio) (4ch),Duo2B_alpha.vst
,209,,Eckel (x86) (www.shuriken.se),Eckel.vst
,210,Instr.,Sampler (Elias Software) (32 out)!!!VSTi,Elias_Sampler_1_1_VST.vst
,211,,EmuVst (Enttec),emu_64bit_osx.vst3
,212,,EnergyPanner (Sound Particles) (4->16ch),EnergyPanner.vst
,213,,EnergyPanner (Sound Particles),EnergyPanner.vst3
,214,,EnergyVisualizer (IEM) (64ch),EnergyVisualizer.vst
,215,,EW Spaces II (East West),EW_Spaces_II.vst
,216,Instr.,Expanse          (Puremagnetik)!!!VSTi,Expanse.vst
,217,,FabFilter Micro (FabFilter),FabFilter_Micro.vst
,218,,Micro (FabFilter),FabFilter_Micro.vst3
,219,,FabFilter Micro (Mono) (FabFilter),FabFilter_Micro__Mono_.vst
,220,Instr.,FabFilter One (FabFilter)!!!VSTi,FabFilter_One.vst
,221,Instr.,One (FabFilter)!!!VSTi,FabFilter_One.vst3
,222,,FabFilter Pro-C 2 (FabFilter),FabFilter_Pro_C_2.vst
,223,,Pro-C 2 (FabFilter),FabFilter_Pro_C_2.vst3
,224,,FabFilter Pro-C 2 (Mono) (FabFilter),FabFilter_Pro_C_2__Mono_.vst
